gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,80,1,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,3.6782,sol2,0.0,0.14,144.8
gfx942,80,1,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,4.8174,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0273,0.44,437.14
gfx942,80,1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,12.9247,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0156,0.43,427.1
gfx942,80,1,512,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,8.0662,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.52,521.13
gfx942,80,1,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,15.4981,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,0.47,474.6
gfx942,80,1,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,9.1734,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,0.91,915.57
gfx942,80,1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,11.7745,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.25,1248.16
gfx942,80,1,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10301,0,13.0372,opus_gemm_gfx942_wkc_512x16x32x32_1x1_16x16x16_0x0x0,0.0,1.29,1287.82
gfx942,80,1,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,22.4165,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,1.31,1310.58
gfx942,80,1,4096,256,False,torch.bfloat16,torch.bfloat16,False,False,asm,2,1,10.8734,_ZN5aiter37bf16gemm_fp32bf16_tn_32x64_pf3_splitkE,0.0,0.19,193.67
gfx942,80,1,4096,1024,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,15.7057,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,0.53,534.76
gfx942,80,1,4096,2048,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,20.4842,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,0.82,819.63
gfx942,80,1,4096,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,25.8782,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,1.3,1297.26
gfx942,80,1,8192,1024,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,21.9784,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,0.76,764.19
gfx942,80,1,32320,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10305,0,113.5155,opus_gemm_gfx942_wkc_512x16x32x64_1x1_16x16x16_0x0x0,0.0,2.33,2333.06
gfx942,80,2,64,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,4.1922,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0234,0.25,129.03
gfx942,80,2,256,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,4.8679,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0176,0.86,434.39
gfx942,80,2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,12.9562,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.026,0.85,427.23
gfx942,80,2,512,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,8.3322,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.01,505.6
gfx942,80,2,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,10,15.4995,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0156,0.95,475.55
gfx942,80,2,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,9.4623,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,1.77,888.69
